key,source,relationship,name,wiki_link,notes
jacindaardern,https://en.wikipedia.org/wiki/Jacinda_Ardern,C,Unknown,N/A,1
jacindaardern,https://en.wikipedia.org/wiki/Jacinda_Ardern,P,Ross Ardern,/wiki/Ross_Ardern,
jacindaardern,https://en.wikipedia.org/wiki/Jacinda_Ardern,F,Ross Ardern,/wiki/Ross_Ardern,
jacindaardern,https://en.wikipedia.org/wiki/Jacinda_Ardern,F,Clarke Gayford,/wiki/Clarke_Gayford,
jacindaardern,https://en.wikipedia.org/wiki/Jacinda_Ardern,F,Paddles ,/wiki/Paddles_(cat),cat
abdelfattahelsisi,https://en.wikipedia.org/wiki/Abdel_Fattah_el-Sisi,S,Entissar Amer,/wiki/Entissar_Amer,
abdelfattahelsisi,https://en.wikipedia.org/wiki/Abdel_Fattah_el-Sisi,C,Unknown,N/A,4
janosader,https://en.wikipedia.org/wiki/J%C3%A1nos_%C3%81der,S,None,#cite_note-1,
janosader,https://en.wikipedia.org/wiki/J%C3%A1nos_%C3%81der,C,Orsolya,N/A,
janosader,https://en.wikipedia.org/wiki/J%C3%A1nos_%C3%81der,C,András,N/A,
janosader,https://en.wikipedia.org/wiki/J%C3%A1nos_%C3%81der,C,Borbála,N/A,
janosader,https://en.wikipedia.org/wiki/J%C3%A1nos_%C3%81der,C,Júlia,N/A,
janosader,https://en.wikipedia.org/wiki/J%C3%A1nos_%C3%81der,C,OrsolyaAndrásBorbálaJúlia,N/A,
cristinafernandezdekirchner,https://en.wikipedia.org/wiki/Cristina_Fern%C3%A1ndez_de_Kirchner,S,Néstor Kirchner,/wiki/N%C3%A9stor_Kirchner,
cristinafernandezdekirchner,https://en.wikipedia.org/wiki/Cristina_Fern%C3%A1ndez_de_Kirchner,C,Máximo Kirchner,/wiki/M%C3%A1ximo_Kirchner,
shinzoabe,https://en.wikipedia.org/wiki/Shinz%C5%8D_Abe,S,Akie Abe,/wiki/Akie_Abe,
rafaelcorrea,https://en.wikipedia.org/wiki/Rafael_Correa,S,Anne Malherbe Gosselin,/wiki/Anne_Malherbe_Gosselin,
rafaelcorrea,https://en.wikipedia.org/wiki/Rafael_Correa,C,Unknown,N/A,3
horaciocartes,https://en.wikipedia.org/wiki/Horacio_Cartes,S,María Montaña ,N/A,divorced
horaciocartes,https://en.wikipedia.org/wiki/Horacio_Cartes,C,Unknown,N/A,3
heinzfischer,https://en.wikipedia.org/wiki/Heinz_Fischer,S,Margit Fischer,/wiki/Margit_Fischer,
heinzfischer,https://en.wikipedia.org/wiki/Heinz_Fischer,C,Unknown,N/A,2
receptayyiperdogan,https://en.wikipedia.org/wiki/Recep_Tayyip_Erdo%C4%9Fan,S,Emine Erdoğan,/wiki/Emine_Erdo%C4%9Fan,
receptayyiperdogan,https://en.wikipedia.org/wiki/Recep_Tayyip_Erdo%C4%9Fan,C,Ahmet Burak Erdoğan,/wiki/Ahmet_Burak_Erdo%C4%9Fan,
receptayyiperdogan,https://en.wikipedia.org/wiki/Recep_Tayyip_Erdo%C4%9Fan,C,Bilal Erdoğan,/wiki/Bilal_Erdo%C4%9Fan,
receptayyiperdogan,https://en.wikipedia.org/wiki/Recep_Tayyip_Erdo%C4%9Fan,C,Esra,N/A,
receptayyiperdogan,https://en.wikipedia.org/wiki/Recep_Tayyip_Erdo%C4%9Fan,C,Sümeyye Bayraktar,N/A,
joachimgauck,https://en.wikipedia.org/wiki/Joachim_Gauck,S,Gerhild Radtke  ,N/A,"1959–1991, separated"
joachimgauck,https://en.wikipedia.org/wiki/Joachim_Gauck,C,Unknown,N/A,4
ashrafghani,https://en.wikipedia.org/wiki/Ashraf_Ghani,S,Rula Ghani,/wiki/Rula_Ghani,
ashrafghani,https://en.wikipedia.org/wiki/Ashraf_Ghani,C,Mariam Ghani,/wiki/Mariam_Ghani,
michaelhiggins,https://en.wikipedia.org/wiki/Michael_Higgins_(actor),S,Elizabeth Lee ,N/A,Betty Goodwin 
ollantahumala,https://en.wikipedia.org/wiki/Ollanta_Humala,S,Nadine Heredia,/wiki/Nadine_Heredia,
ollantahumala,https://en.wikipedia.org/wiki/Ollanta_Humala,C,Unknown,N/A,3
mamnoonhussain,https://en.wikipedia.org/wiki/Mamnoon_Hussain,S,Mehmooda Mamnoon,N/A,
klausiohannis,https://en.wikipedia.org/wiki/Klaus_Iohannis,S,Carmen Iohannis,/wiki/Carmen_Iohannis,
uhurukenyatta,https://en.wikipedia.org/wiki/Uhuru_Kenyatta,S,Margaret Kenyatta,/wiki/Margaret_Kenyatta,
uhurukenyatta,https://en.wikipedia.org/wiki/Uhuru_Kenyatta,C,Unknown,N/A,3
uhurukenyatta,https://en.wikipedia.org/wiki/Uhuru_Kenyatta,R,Jomo Kenyatta,/wiki/Jomo_Kenyatta,
andrejkiska,https://en.wikipedia.org/wiki/Andrej_Kiska,S,Mária Kisková ,/w/index.php?title=M%C3%A1ria_Kiskov%C3%A1&action=edit&redlink=1,page does not exist
andrejkiska,https://en.wikipedia.org/wiki/Andrej_Kiska,S,sk:Mária Kisková,https://sk.wikipedia.org/wiki/M%C3%A1ria_Kiskov%C3%A1,
andrejkiska,https://en.wikipedia.org/wiki/Andrej_Kiska,S,Martina Kisková,/wiki/Martina_Kiskov%C3%A1,
andrejkiska,https://en.wikipedia.org/wiki/Andrej_Kiska,C,Unknown,N/A,5
stefanlofven,https://en.wikipedia.org/wiki/Stefan_L%C3%B6fven,S,Ulla Löfvén,/wiki/Ulla_L%C3%B6fv%C3%A9n,
bronislawkomorowski,https://en.wikipedia.org/wiki/Bronis%C5%82aw_Komorowski,S,Anna Komorowska,/wiki/Anna_Komorowska,
bronislawkomorowski,https://en.wikipedia.org/wiki/Bronis%C5%82aw_Komorowski,C,Zofia AleksandraTadeusz JanMaria AnnaPiotr ZygmuntElżbieta Jadwiga,N/A,
emmanuelmacron,https://en.wikipedia.org/wiki/Emmanuel_Macron,S,Brigitte Macron,/wiki/Brigitte_Macron,
emmanuelmacron,https://en.wikipedia.org/wiki/Emmanuel_Macron,P,Jean-Michel Macron,/wiki/Jean-Michel_Macron,
emmanuelmacron,https://en.wikipedia.org/wiki/Emmanuel_Macron,P,Françoise Noguès,N/A,
nicolasmaduro,https://en.wikipedia.org/wiki/Nicol%C3%A1s_Maduro,S,Cilia Flores,/wiki/Cilia_Flores,
nicolasmaduro,https://en.wikipedia.org/wiki/Nicol%C3%A1s_Maduro,C,Nicolás Maduro Guerra,/wiki/Nicol%C3%A1s_Maduro_Guerra,
charlesmichel,https://en.wikipedia.org/wiki/Charles-Michel_de_l%27%C3%89p%C3%A9e,N/A,N/A,N/A,
marianorajoy,https://en.wikipedia.org/wiki/Mariano_Rajoy,S,Elvira Fernández Balboa ,N/A,1996–present
marianorajoy,https://en.wikipedia.org/wiki/Mariano_Rajoy,C,Unknown,N/A,2
marianorajoy,https://en.wikipedia.org/wiki/Mariano_Rajoy,P,Mariano Rajoy Sobredo,/wiki/Mariano_Rajoy_Sobredo,
tonytan,https://en.wikipedia.org/wiki/Tony_Tan,S,Mary Chee Bee Kiang,/wiki/Mary_Chee_Bee_Kiang,
tonytan,https://en.wikipedia.org/wiki/Tony_Tan,C,3 sons1 daughter,N/A,
tonytan,https://en.wikipedia.org/wiki/Tony_Tan,R,Tan Chin Tuan,/wiki/Tan_Chin_Tuan,
